"Batting_G","Batting_AB","Batting_R","Batting_H","Batting_2B","Batting_3B","Batting_HR","Batting_RBI","Batting_SB","Batting_CS","Batting_BB","Batting_SO","Batting_IBB","Batting_HBP","Batting_SH","Batting_SF","Batting_GIDP","Batting_1B","Batting_Average","Slugging","OPS","ISO","wOBA"
2379,9073,1508,2724,504,80,210,1134,474,114,1032,1140,62,50,148,97,206,1930,0.300231455968257,0.442852419265954,0.371244635193133,0.142620963297696,0.204892836113837
1481,4760,558,1168,126,19,13,282,227,80,302,482,17,3,77,18,58,1010,0.245378151260504,0.288025210084034,0.289789494393075,0.0426470588235294,0.100013225424398
1377,4530,520,1236,249,10,112,588,25,24,212,499,15,41,48,34,132,865,0.272847682119205,0.406401766004415,0.309113556155283,0.13355408388521,0.168741149521033
2082,7339,985,2101,359,49,206,852,107,67,423,706,67,57,33,56,135,1487,0.286278784575555,0.432756506336013,0.327746031746032,0.146477721760458,0.177653509221311
1380,4345,448,1216,170,26,32,377,31,46,138,267,32,30,44,20,143,988,0.279861910241657,0.353049482163406,0.305316567394661,0.0731875719217491,0.112831015329927
1667,5789,780,1777,236,50,31,427,156,80,311,377,38,36,55,29,101,1460,0.306961478666436,0.381067541889791,0.344525547445255,0.0741060632233546,0.128920678961972
1942,7037,1109,2134,421,39,332,1287,106,37,737,894,91,48,9,82,195,1342,0.30325422765383,0.515702714224812,0.369306680161943,0.212448486570982,0.242571688211954
643,1715,248,418,67,19,9,123,19,26,185,224,9,12,17,8,37,323,0.243731778425656,0.32069970845481,0.3203125,0.0769679300291545,0.153614024071167
727,1788,305,493,82,10,11,159,112,39,176,277,1,16,29,13,37,390,0.27572706935123,0.351230425055928,0.343702960361264,0.075503355704698,0.155836847389558
940,2155,211,505,75,13,8,156,11,14,227,280,24,10,47,12,53,409,0.234338747099768,0.292343387470998,0.30865224625624,0.0580046403712297,0.133088319327731
1834,6499,1062,1661,338,67,210,761,315,100,960,1190,59,154,74,50,65,1046,0.255577781197107,0.425142329589168,0.362129714211144,0.16956454839206,0.237354392425039
873,2026,244,490,73,12,19,143,49,30,206,331,17,5,37,13,49,386,0.241855873642646,0.31786771964462,0.311555555555556,0.0760118460019744,0.143479982086879
2228,8640,1084,2529,522,36,287,1365,80,47,429,1224,104,8,13,87,197,1684,0.292708333333333,0.461111111111111,0.323657791357486,0.168402777777778,0.188100463576159
1635,6341,870,1841,328,124,49,976,338,0,310,55,0,53,64,0,0,1340,0.290332755085949,0.404352625768806,0.328758949880668,0.114019870682858,0.162795196897375
1151,3204,392,849,174,20,63,371,71,24,227,471,28,15,31,31,60,592,0.26498127340824,0.390761548064919,0.31377624388841,0.125780274656679,0.17006280081183
2523,10277,1996,3418,581,142,97,2076,276,16,983,302,0,32,27,0,0,2598,0.332587330933152,0.445071518925757,0.392578816861495,0.112484187992605,0.186308572440666
2601,10230,1335,2677,394,92,83,791,506,136,736,742,22,27,161,76,184,2108,0.261681329423265,0.342521994134897,0.310777848044087,0.0808406647116325,0.137881180410971
2422,8856,1319,2749,440,102,45,1116,179,108,1302,528,0,11,74,0,129,2162,0.310411020776874,0.398373983739837,0.399449306716491,0.087962962962963,0.18850669682368
847,2646,246,660,106,34,16,296,36,6,124,241,0,19,93,0,0,504,0.249433106575964,0.333333333333333,0.287916816063105,0.0839002267573696,0.131702832556472
