"playerID","HallOfFame_years_on_ballot","HallOfFame_max_ballots_cast","HallOfFame_max_needed","HallOfFame_max_votes","HallOfFame_inducted","birthYear","birthMonth","birthDay","birthCountry","birthState","birthCity","deathYear","deathMonth","deathDay","deathCountry","deathState","deathCity","nameFirst","nameLast","nameGiven","weight","height","bats","throws","debut","finalGame","retroID","bbrefID","Batting_total_seasons","Batting_total_teams","Batting_G","Batting_AB","Batting_R","Batting_H","Batting_2B","Batting_3B","Batting_HR","Batting_RBI","Batting_SB","Batting_CS","Batting_BB","Batting_SO","Batting_IBB","Batting_HBP","Batting_SH","Batting_SF","Batting_GIDP","Fielding_G","Fielding_GS","Fielding_InnOuts","Fielding_PO","Fielding_A","Fielding_E","Fielding_DP","Fielding_PB","Fielding_WP","Fielding_SB","Fielding_CS","Awards_PitchingTripleCrown","Awards_TripleCrown","Awards_BaseballMagazineAllStar","Awards_MostValuablePlayer","Awards_TSNAllStar","Awards_TSNGuideMVP","Awards_TSNMajorLeaguePlayerOfTheYear","Awards_TSNPitcherOfTheYear","Awards_TSNPlayerOfTheYear","Awards_RookieOfTheYear","Awards_BabeRuthAward","Awards_LouGehrigMemorialAward","Awards_WorldSeriesMVP","Awards_CyYoungAward","Awards_GoldGlove","Awards_FiremanOfTheYear","Awards_AlLStarGameMVP","Awards_HutchAward","Awards_RobertoClemnteAward","Awards_RolaidsReliefManAward","Awards_NLCSMVP","Awards_ALCSMVP","Awards_SilverSluger","Awards_BranchRickeyAward","Awards_HankAaronAward","Awards_TSNReliverOfTheYear","Awards_ComebackPlayerOfTheYear","Awards_OutstandingDHAward","Awards_RelieverOfTheYear","AllstarGames","position","position.c","position.1b","position.2b","position.3b","position.ss","position.lf","position.cf","position.rf","Batting_Average","Batting_1B","Slugging","OPS","ISO","wOBA"
"montgbo01",0,0,0,0,"N",1944,4,16,"USA","TN","Nashville",NA,NA,NA,"","","","Bob","Montgomery","Robert Edward",195,73,"R","R","1970-09-06",1979-09-09,"montb101","montgbo01",10,1,387,1185,125,306,50,8,23,156,6,2,64,268,7,7,13,16,34,367,313,8636,1661,138,33,22,23,91,203,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",1,0,0,0,0,0,0,0,0.258227848101266,225,0.372151898734177,0.296383647798742,0.113924050632911,0.149537549407115
"moonwa01",1,360,270,2,"N",1930,4,3,"USA","AR","Bay",NA,NA,NA,"","","","Wally","Moon","Wallace Wade",169,72,"L","R","1954-04-13",1965-09-12,"moonw101","moonwa01",12,2,1457,4843,737,1399,212,60,142,661,89,68,644,591,56,13,31,35,121,1277,1225,32653,3133,174,68,133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"lf",0,0,0,0,0,1,0,0,0.288870534792484,985,0.445385091885195,0.371454381210479,0.156514557092711,0.213054937032305
"moorech02",0,0,0,0,"N",1953,6,21,"USA","AL","Birmingham",NA,NA,NA,"","","","Charlie","Moore","Charles William",180,71,"R","R","1973-09-08",1987-10-04,"moorc001","moorech02",15,2,1334,4033,456,1052,187,43,36,408,51,57,346,470,12,11,71,21,104,1293,1102,29775,4481,469,101,53,67,253,488,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"c",1,0,0,0,0,0,0,0,0.26084800396727,786,0.355318621373667,0.319428700974836,0.0944706174063972,0.157081109343033
"mooreed01",0,0,0,0,"N",1899,1,18,"USA","KY","Barlow",1976,2,10,"USA","FL","Fort Myers","Eddie","Moore","Graham Edward",165,67,"R","R","1923-09-25",1934-07-11,"moore102","mooreed01",10,5,748,2474,360,706,108,26,13,257,52,14,272,121,0,11,81,0,0,681,0,0,1376,1520,143,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2b",0,0,1,0,0,0,0,0,0.285367825383994,559,0.365804365400162,0.358723249909322,0.0804365400161682,0.163894885745375
"moorege03",0,0,0,0,"N",1909,8,26,"USA","TX","Lancaster",1978,3,12,"USA","MS","Jackson","Gene","Moore","Eugene",175,71,"L","L","1931-09-19",1945-09-30,"moorg104","moorege03",14,6,1042,3543,497,958,179,53,58,436,31,10,317,401,0,14,39,0,56,917,0,0,1895,109,53,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rf",0,0,0,0,0,0,0,1,0.270392322890206,668,0.39994355066328,0.3327310273619,0.129551227773074,0.186673051109964
"moorejo01",0,0,0,0,"N",1902,3,23,"USA","CT","Waterville",1991,4,4,"USA","FL","Bradenton","Johnny","Moore","John Francis",175,70,"L","R","1928-09-15",1945-09-26,"moorj104","moorejo01",10,3,846,3013,439,926,155,26,73,452,23,0,195,176,0,14,47,0,41,737,0,0,1522,78,49,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rf",0,0,0,0,0,0,0,1,0.307334882177232,672,0.448722203783604,0.352265673494724,0.141387321606372,0.1852034761018
"moorejo02",1,168,126,1,"N",1908,12,25,"USA","TX","Gause",2001,4,1,"USA","TX","Bryan","Jo-Jo","Moore","Joe Gregg",155,71,"L","R","1930-09-17",1941-09-21,"moorj103","moorejo02",12,1,1335,5427,809,1615,258,53,79,513,46,0,348,247,0,37,36,0,48,1294,0,0,2501,116,68,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"lf",0,0,0,0,0,1,0,0,0.297586143357288,1225,0.408328726736687,0.344115622849277,0.110742583379399,0.164342567102546
"moorera01",0,0,0,0,"N",1906,6,21,"USA","TX","Naples",1992,6,12,"USA","TX","Mount Pleasant","Randy","Moore","Randolph Edward",185,72,"L","R","1927-04-12",1937-09-07,"moorr103","moorera01",10,4,749,2253,258,627,110,17,27,308,11,1,158,85,0,3,30,0,41,586,0,0,1725,195,56,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"rf",0,0,0,0,0,0,0,1,0.278295605858855,473,0.378162450066578,0.326429163214582,0.099866844207723,0.156254101077051
"moorete01",8,292,219,33,"N",1912,5,27,"USA","AL","Vernon",1995,3,29,"USA","IL","Collinsville","Terry","Moore","Terry Bluford",195,71,"R","R","1935-04-16",1948-09-24,"moort102","moorete01",11,1,1298,4700,719,1318,263,28,80,513,82,0,406,368,0,16,82,0,76,1197,0,0,3126,119,52,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"cf",0,0,0,0,0,0,1,0,0.280425531914894,947,0.39936170212766,0.339711050370949,0.118936170212766,0.180278524014057
"moralje01",0,0,0,0,"N",1949,2,18,"P.R.","","Yabucoa",NA,NA,NA,"","","","Jerry","Morales","Julio Ruben",155,70,"R","R","1969-09-05",1983-09-28,"moraj101","moralje01",15,5,1441,4528,516,1173,199,36,95,570,37,57,366,567,33,14,20,56,124,1260,1088,29997,2357,73,44,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"rf",0,0,0,0,0,0,0,1,0.259054770318021,843,0.38184628975265,0.312852538275584,0.122791519434629,0.167397363617927
